Player,Team,Att,Cmp,Pct,Yds,YPA,TD,TD%,Int,Int%,Lg,Sack,Loss,Rate,"Stat Type"
"Case Keenum",HOU,603,428,71.0,"5,631",9.3,48,8.0,5,0.8,--,--,--,174.0,Passing
"Brandon Weeden",OKST,564,408,72.3,"4,727",8.4,37,6.6,13,2.3,--,--,--,159.8,Passing
"Landry Jones",OKLA,562,355,63.2,"4,463",7.9,29,5.2,15,2.7,--,--,--,141.6,Passing
"Geno Smith",WVU,526,346,65.8,"4,385",8.3,31,5.9,7,1.3,--,--,--,152.6,Passing
"Nick Foles",ARIZ,560,387,69.1,"4,334",7.7,28,5.0,14,2.5,--,--,--,145.6,Passing
"Robert Griffin III",BAY,402,291,72.4,"4,293",10.7,37,9.2,6,1.5,--,--,--,189.5,Passing
"Brock Osweiler",AZST,516,326,63.2,"4,036",7.8,26,5.0,13,2.5,--,--,--,140.5,Passing
"Seth Doege",TTU,581,398,68.5,"4,004",6.9,28,4.8,10,1.7,--,--,--,138.9,Passing
"Alex Carder",WMU,502,330,65.7,"3,873",7.7,31,6.2,14,2.8,--,--,--,145.3,Passing
"Tajh Boyd",CLEM,499,298,59.7,"3,828",7.7,33,6.6,12,2.4,--,--,--,141.2,Passing
"Kellen Moore",BSU,439,326,74.3,"3,800",8.7,43,9.8,9,2.1,--,--,--,175.2,Passing
"Ryan Tannehill",TAMU,531,327,61.6,"3,744",7.1,29,5.5,15,2.8,--,--,--,133.2,Passing
"Tyler Wilson",ARK,438,277,63.2,"3,638",8.3,24,5.5,6,1.4,--,--,--,148.4,Passing
"Ryan Aplin",ARST,476,304,63.9,"3,588",7.5,19,4.0,16,3.4,--,--,--,133.6,Passing
"Derek Carr",FRES,446,279,62.6,"3,544",7.9,26,5.8,9,2.0,--,--,--,144.5,Passing
"Matt Barkley",USC,446,308,69.1,"3,528",7.9,39,8.7,7,1.6,--,--,--,161.2,Passing
"Andrew Luck",STAN,404,288,71.3,"3,517",8.7,37,9.2,10,2.5,--,--,--,169.7,Passing
"Zac Dysert",MIOH,448,295,65.8,"3,513",7.8,23,5.1,11,2.5,--,--,--,143.7,Passing
"Austin Davis",USM,475,286,60.2,"3,496",7.4,30,6.3,11,2.3,--,--,--,138.2,Passing
"J.J. McDermott",SMU,455,272,59.8,"3,421",7.5,17,3.7,16,3.5,--,--,--,128.2,Passing
"Corey Robinson",TROY,508,316,62.2,"3,411",6.7,21,4.1,15,3.0,--,--,--,126.3,Passing
"Sean Mannion",ORST,473,305,64.5,"3,328",7.0,16,3.4,18,3.8,--,--,--,127.1,Passing
"Kirk Cousins",MSU,419,267,63.7,"3,316",7.9,25,6.0,10,2.4,--,--,--,145.1,Passing
"Tyler Tettleton",OHIO,413,265,64.2,"3,306",8.0,28,6.8,10,2.4,--,--,--,148.9,Passing
"Ryan Radcliff",CMU,453,257,56.7,"3,286",7.3,25,5.5,16,3.5,--,--,--,128.8,Passing
"Dominique Davis",ECU,494,334,67.6,"3,225",6.5,25,5.1,19,3.8,--,--,--,131.5,Passing
"Chandler Harnish",NIU,384,237,61.7,"3,216",8.4,28,7.3,6,1.6,--,--,--,153.0,Passing
"Russell Wilson",WISC,309,225,72.8,"3,175",10.3,33,10.7,4,1.3,--,--,--,191.8,Passing
"Ryan Lindley",SDSU,447,237,53.0,"3,153",7.1,23,5.1,8,1.8,--,--,--,125.7,Passing
"Matt Faulkner",SJSU,422,274,64.9,"3,149",7.5,13,3.1,13,3.1,--,--,--,131.6,Passing
"Aaron Murray",UGA,403,238,59.1,"3,149",7.8,35,8.7,14,3.5,--,--,--,146.4,Passing
"G.J. Kinne",TULS,390,247,63.3,"3,090",7.9,28,7.2,12,3.1,--,--,--,147.4,Passing
"Bryn Renner",UNC,350,239,68.3,"3,086",8.8,26,7.4,13,3.7,--,--,--,159.4,Passing
"Keith Price",WASH,362,242,66.9,"3,063",8.5,33,9.1,11,3.0,--,--,--,161.9,Passing
"Mike Glennon",NCST,453,283,62.5,"3,054",6.7,31,6.8,12,2.6,--,--,--,136.4,Passing
"Matt Schilz",BGSU,411,245,59.6,"3,024",7.4,28,6.8,13,3.2,--,--,--,137.6,Passing
"James Vandenberg",IOWA,404,237,58.7,"3,022",7.5,25,6.2,7,1.7,--,--,--,138.5,Passing
"Tanner Price",WF,422,253,60.0,"3,017",7.1,20,4.7,6,1.4,--,--,--,132.8,Passing
"Logan Thomas",VT,391,234,59.8,"3,013",7.7,19,4.9,10,2.6,--,--,--,135.5,Passing
"Zach Maynard",CAL,405,231,57.0,"2,990",7.4,17,4.2,12,3.0,--,--,--,127.0,Passing
"Blaine Gautier",ULL,344,216,62.8,"2,958",8.6,23,6.7,6,1.7,--,--,--,153.6,Passing
"Casey Pachall",TCU,343,228,66.5,"2,921",8.5,25,7.3,7,2.0,--,--,--,158.0,Passing
"Sean Renfree",DUKE,434,282,65.0,"2,891",6.7,14,3.2,11,2.5,--,--,--,126.5,Passing
"Tyler Hansen",COL,412,231,56.1,"2,883",7.0,20,4.9,11,2.7,--,--,--,125.5,Passing
"Tommy Rees",ND,411,269,65.5,"2,871",7.0,20,4.9,14,3.4,--,--,--,133.4,Passing
"James Franklin",MIZZ,376,238,63.3,"2,865",7.6,21,5.6,11,2.9,--,--,--,139.9,Passing
"Keith Wenning",BALL,449,287,63.9,"2,786",6.2,19,4.2,11,2.4,--,--,--,125.1,Passing
"Darron Thomas",ORE,339,211,62.2,"2,761",8.1,33,9.7,7,2.1,--,--,--,158.7,Passing
"Bryant Moniz",HAW,397,248,62.5,"2,733",6.9,22,5.5,5,1.3,--,--,--,136.1,Passing
"Ryan Nassib",SYR,415,259,62.4,"2,685",6.5,22,5.3,9,2.2,--,--,--,129.9,Passing
"Michael Rocco",UVA,366,222,60.7,"2,671",7.3,13,3.6,12,3.3,--,--,--,127.1,Passing
"E.J. Manuel",FSU,311,203,65.3,"2,666",8.6,18,5.8,8,2.6,--,--,--,151.2,Passing
"A.J. McCarron",ALA,328,219,66.8,"2,634",8.0,16,4.9,5,1.5,--,--,--,147.3,Passing
"Brett Smith",WYO,415,253,61.0,"2,622",6.3,20,4.8,11,2.7,--,--,--,124.6,Passing
"Tino Sunseri",PITT,385,247,64.2,"2,616",6.8,10,2.6,11,2.9,--,--,--,124.1,Passing
"B.J. Daniels",USF,365,215,58.9,"2,604",7.1,13,3.6,7,1.9,--,--,--,126.8,Passing
"Marshall Lobbestael",WSU,341,208,61.0,"2,584",7.6,19,5.6,8,2.3,--,--,--,138.3,Passing
"Ryan Griffin",TULN,408,227,55.6,"2,502",6.1,13,3.2,10,2.5,--,--,--,112.8,Passing
"Jacory Harris",MIA,300,195,65.0,"2,486",8.3,20,6.7,9,3.0,--,--,--,150.6,Passing
"Kolton Browning",ULM,419,244,58.2,"2,483",5.9,13,3.1,8,1.9,--,--,--,114.4,Passing
"Chazz Anderson",BUFF,406,230,56.7,"2,454",6.0,11,2.7,9,2.2,--,--,--,111.9,Passing
"Dan Persa",NW,297,218,73.4,"2,376",8.0,17,5.7,7,2.4,--,--,--,154.8,Passing
"Wesley Carroll",FIU,332,200,60.2,"2,374",7.2,14,4.2,4,1.2,--,--,--,131.8,Passing
"Logan Kilgore",MTSU,365,214,58.6,"2,231",6.1,18,4.9,12,3.3,--,--,--,119.7,Passing
"Denard Robinson",MICH,258,142,55.0,"2,173",8.4,20,7.8,15,5.8,--,--,--,139.7,Passing
"Matt Christian",NMST,277,145,52.3,"2,158",7.8,15,5.4,8,2.9,--,--,--,129.9,Passing
"Teddy Bridgewater",LOU,296,191,64.5,"2,129",7.2,14,4.7,12,4.1,--,--,--,132.4,Passing
"Johnny McEntee",CONN,335,172,51.3,"2,110",6.3,12,3.6,8,2.4,--,--,--,111.3,Passing
"Nathan Scheelhaase",ILL,291,184,63.2,"2,110",7.3,13,4.5,8,2.7,--,--,--,133.4,Passing
"Taylor Martinez",NEB,288,162,56.2,"2,089",7.3,13,4.5,8,2.8,--,--,--,126.5,Passing
"Rakeem Cato",MRSH,304,182,59.9,"2,059",6.8,15,4.9,11,3.6,--,--,--,125.8,Passing
"John Brantley",FLA,240,144,60.0,"2,044",8.5,11,4.6,7,2.9,--,--,--,140.8,Passing
"Jonathan Perry",UAB,300,174,58.0,"2,042",6.8,10,3.3,8,2.7,--,--,--,120.8,Passing
"Terrance Owens",TOL,230,166,72.2,"2,022",8.8,18,7.8,3,1.3,--,--,--,169.2,Passing
"Tyler Bray",TENN,247,147,59.5,"1,983",8.0,17,6.9,6,2.4,--,--,--,144.8,Passing
"Brian Reader",IDHO,354,192,54.2,"1,974",5.6,10,2.8,12,3.4,--,--,--,103.6,Passing
"Chase Rettig",BC,317,170,53.6,"1,960",6.2,12,3.8,9,2.8,--,--,--,112.4,Passing
"Zach Collaros",CINN,272,166,61.0,"1,934",7.1,15,5.5,10,3.7,--,--,--,131.6,Passing
"Collin Klein",KSST,281,161,57.3,"1,918",6.8,13,4.6,6,2.1,--,--,--,125.6,Passing
"Caleb TerBush",PUR,277,171,61.7,"1,905",6.9,13,4.7,6,2.2,--,--,--,130.7,Passing
"Jeff Godfrey",UCF,232,160,69.0,"1,898",8.2,5,2.2,5,2.2,--,--,--,140.5,Passing
"Jordan Webb",KAN,281,179,63.7,"1,884",6.7,13,4.6,12,4.3,--,--,--,126.7,Passing
