Player,Team,Att,Cmp,Pct,Yds,YPA,TD,TD%,Int,Int%,Lg,Sack,Loss,Rate,"Stat Type"
"Case Keenum",HOU,700,492,70.3,"5,671",8.1,44,6.3,15,2.1,--,--,--,154.8,Passing
"Levi Brown",TROY,504,321,63.7,"4,254",8.4,23,4.6,9,1.8,--,--,--,146.1,Passing
"Tyler Sheehan",BGSU,575,373,64.9,"4,051",7.0,27,4.7,7,1.2,--,--,--,137.1,Passing
"Jimmy Clausen",ND,425,289,68.0,"3,722",8.8,28,6.6,4,0.9,--,--,--,161.4,Passing
"Ryan Mallett",ARK,403,225,55.8,"3,624",9.0,30,7.4,7,1.7,--,--,--,152.5,Passing
"Todd Reesing",KAN,496,313,63.1,"3,616",7.3,22,4.4,10,2.0,--,--,--,134.9,Passing
"Blaine Gabbert",MIZZ,445,262,58.9,"3,593",8.1,24,5.4,9,2.0,--,--,--,140.5,Passing
"Jerrod Johnson",TAMU,497,296,59.6,"3,579",7.2,30,6.0,8,1.6,--,--,--,136.7,Passing
"Max Hall",BYU,409,275,67.2,"3,560",8.7,33,8.1,14,3.4,--,--,--,160.1,Passing
"Kellen Moore",BSU,431,277,64.3,"3,536",8.2,39,9.0,3,0.7,--,--,--,161.7,Passing
"Colt McCoy",TEX,470,332,70.6,"3,521",7.5,27,5.7,12,2.6,--,--,--,147.4,Passing
"Taylor Potts",TTU,470,309,65.7,"3,440",7.3,22,4.7,13,2.8,--,--,--,137.1,Passing
"Dan LeFevour",CMU,456,318,69.7,"3,438",7.5,28,6.1,7,1.5,--,--,--,150.3,Passing
"Mike Kafka",NW,492,319,64.8,"3,430",7.0,16,3.3,12,2.4,--,--,--,129.3,Passing
"Jacory Harris",MIA,406,242,59.6,"3,352",8.3,24,5.9,17,4.2,--,--,--,140.1,Passing
"Thaddeus Lewis",DUKE,449,274,61.0,"3,330",7.4,20,4.5,8,1.8,--,--,--,134.5,Passing
"Trevor Vittatoe",UTEP,409,224,54.8,"3,308",8.1,17,4.2,13,3.2,--,--,--,130.1,Passing
"Sean Canfield",ORST,446,303,67.9,"3,271",7.3,21,4.7,7,1.6,--,--,--,141.9,Passing
"Tim Hiller",WMU,514,309,60.1,"3,249",6.3,23,4.5,13,2.5,--,--,--,122.9,Passing
"Landry Jones",OKLA,449,261,58.1,"3,198",7.1,26,5.8,14,3.1,--,--,--,130.8,Passing
"Riley Skinner",WF,400,264,66.0,"3,160",7.9,26,6.5,12,3.0,--,--,--,147.8,Passing
"Ryan Lindley",SDSU,437,239,54.7,"3,054",7.0,23,5.3,16,3.7,--,--,--,123.4,Passing
"Russell Wilson",NCST,378,224,59.3,"3,027",8.0,31,8.2,11,2.9,--,--,--,147.8,Passing
"Joey Elliott",PUR,433,267,61.7,"3,026",7.0,22,5.1,13,3.0,--,--,--,131.1,Passing
"Daryll Clark",PSU,381,232,60.9,"3,003",7.9,24,6.3,10,2.6,--,--,--,142.6,Passing
"Patrick Pinkney",ECU,440,259,58.9,"2,947",6.7,15,3.4,12,2.7,--,--,--,120.9,Passing
"Ben Chappell",IND,428,268,62.6,"2,941",6.9,17,4.0,15,3.5,--,--,--,126.4,Passing
"Nathan Enderle",IDHO,312,192,61.5,"2,906",9.3,22,7.1,9,2.9,--,--,--,157.3,Passing
"Tim Tebow",FLA,314,213,67.8,"2,895",9.2,21,6.7,5,1.6,--,--,--,164.2,Passing
"Diondre Borel",USU,366,214,58.5,"2,885",7.9,17,4.6,4,1.1,--,--,--,137.8,Passing
"Stephen Garcia",SCAR,432,239,55.3,"2,862",6.6,17,3.9,10,2.3,--,--,--,119.3,Passing
"Kevin Riley",CAL,382,209,54.7,"2,850",7.5,18,4.7,8,2.1,--,--,--,128.7,Passing
"Jonathan Crompton",TENN,384,224,58.3,"2,800",7.3,27,7.0,13,3.4,--,--,--,136.0,Passing
"Jake Locker",WASH,395,230,58.2,"2,800",7.1,21,5.3,11,2.8,--,--,--,129.7,Passing
"Dwight Dasher",MTSU,399,219,54.9,"2,789",7.0,23,5.8,14,3.5,--,--,--,125.6,Passing
"Andy Dalton",TCU,323,199,61.6,"2,756",8.5,23,7.1,8,2.5,--,--,--,151.8,Passing
"Matt Barkley",USC,352,211,59.9,"2,735",7.8,15,4.3,14,4.0,--,--,--,131.3,Passing
"G.J. Kinne",TULS,345,210,60.9,"2,732",7.9,22,6.4,10,2.9,--,--,--,142.6,Passing
"Christian Ponder",FSU,330,227,68.8,"2,717",8.2,14,4.2,7,2.1,--,--,--,147.7,Passing
"Scott Tolzien",WISC,328,211,64.3,"2,705",8.2,16,4.9,11,3.4,--,--,--,143.0,Passing
"Zach Maynard",BUFF,379,218,57.5,"2,694",7.1,18,4.7,15,4.0,--,--,--,125.0,Passing
"Kirk Cousins",MSU,328,198,60.4,"2,680",8.2,19,5.8,9,2.7,--,--,--,142.6,Passing
"Brian Anderson",MRSH,398,231,58.0,"2,646",6.6,14,3.5,13,3.3,--,--,--,119.0,Passing
"Bill Stull",PITT,321,209,65.1,"2,633",8.2,21,6.5,8,2.5,--,--,--,150.6,Passing
"Jevan Snead",MISS,351,191,54.4,"2,632",7.5,20,5.7,20,5.7,--,--,--,124.8,Passing
"Chris Todd",AUB,328,198,60.4,"2,612",8.0,22,6.7,6,1.8,--,--,--,145.7,Passing
"Zac Dysert",MIOH,401,247,61.6,"2,611",6.5,12,3.0,16,4.0,--,--,--,118.2,Passing
"Joe Cox",UGA,331,185,55.9,"2,584",7.8,24,7.3,15,4.5,--,--,--,136.3,Passing
"Adam Weber",MINN,367,191,52.0,"2,582",7.0,13,3.5,15,4.1,--,--,--,114.7,Passing
"Andrew Luck",STAN,288,162,56.2,"2,575",8.9,13,4.5,4,1.4,--,--,--,143.5,Passing
"Kyle Parker",CLEM,369,205,55.6,"2,526",6.8,20,5.4,12,3.3,--,--,--,124.4,Passing
"Tony Pike",CINN,338,211,62.4,"2,520",7.5,29,8.6,6,1.8,--,--,--,149.8,Passing
"Greg McElroy",ALA,325,198,60.9,"2,508",7.7,17,5.2,4,1.2,--,--,--,140.5,Passing
"Nick Foles",ARIZ,409,260,63.6,"2,486",6.1,19,4.6,9,2.2,--,--,--,125.6,Passing
"Ryan Colburn",FRES,298,181,60.7,"2,459",8.3,19,6.4,11,3.7,--,--,--,143.7,Passing
"Brett Hodges",UCF,329,197,59.9,"2,438",7.4,17,5.2,13,4.0,--,--,--,131.3,Passing
"Ricky Stanzi",IOWA,304,171,56.2,"2,417",8.0,17,5.6,15,4.9,--,--,--,131.6,Passing
"Donovan Porterie",UNM,432,249,57.6,"2,411",5.6,12,2.8,13,3.0,--,--,--,107.7,Passing
"Chris Masson",ULL,373,222,59.5,"2,406",6.5,10,2.7,8,2.1,--,--,--,118.3,Passing
"Bryant Moniz",HAW,319,182,57.1,"2,396",7.5,14,4.4,10,3.1,--,--,--,128.4,Passing
"Theo Scott",OHIO,344,199,57.8,"2,369",6.9,20,5.8,11,3.2,--,--,--,128.5,Passing
"Paul McCall",FIU,370,208,56.2,"2,343",6.3,14,3.8,8,2.2,--,--,--,117.6,Passing
"Tyrod Taylor",VT,243,136,56.0,"2,311",9.5,13,5.3,5,2.1,--,--,--,149.4,Passing
"Joe Webb",UAB,271,162,59.8,"2,299",8.5,21,7.7,8,3.0,--,--,--,150.7,Passing
"Omar Clayton",UNLV,326,196,60.1,"2,230",6.8,13,4.0,12,3.7,--,--,--,123.4,Passing
"Tom Savage",RUT,285,149,52.3,"2,211",7.8,14,4.9,7,2.5,--,--,--,128.7,Passing
"Jordan Jefferson",LSU,296,182,61.5,"2,166",7.3,17,5.7,7,2.4,--,--,--,137.2,Passing
"Spencer Keith",KENT,294,168,57.1,"2,147",7.3,14,4.8,11,3.7,--,--,--,126.7,Passing
"Jeremiah Masoli",ORE,305,177,58.0,"2,147",7.0,15,4.9,6,2.0,--,--,--,129.5,Passing
"Jarrett Brown",WVU,296,187,63.2,"2,144",7.2,11,3.7,9,3.0,--,--,--,130.2,Passing
"Zac Lee",NEB,302,177,58.6,"2,143",7.1,14,4.6,10,3.3,--,--,--,126.9,Passing
"T.J. Yates",UNC,355,214,60.3,"2,136",6.0,14,3.9,15,4.2,--,--,--,115.4,Passing
"Ross Jenkins",LT,290,172,59.3,"2,095",7.2,17,5.9,5,1.7,--,--,--,135.9,Passing
"Terrelle Pryor",OSU,295,167,56.6,"2,094",7.1,18,6.1,11,3.7,--,--,--,128.9,Passing
"Zac Robinson",OKST,301,180,59.8,"2,084",6.9,15,5.0,12,4.0,--,--,--,126.4,Passing
"Chris Turner",MD,303,180,59.4,"2,069",6.8,10,3.3,10,3.3,--,--,--,121.1,Passing
"Colin Kaepernick",NEV,282,166,58.9,"2,052",7.3,20,7.1,6,2.1,--,--,--,139.1,Passing
"Tate Forcier",MICH,281,165,58.7,"2,050",7.3,13,4.6,10,3.6,--,--,--,128.1,Passing
"Kevin Prince",UCLA,308,173,56.2,"2,050",6.7,8,2.6,8,2.6,--,--,--,115.5,Passing
"Dave Shinskie",BC,288,149,51.7,"2,049",7.1,15,5.2,14,4.9,--,--,--,119.0,Passing
"Greg Paulus",SYR,285,193,67.7,"2,024",7.1,13,4.6,14,4.9,--,--,--,132.6,Passing
"Austen Arnaud",IAST,303,178,58.7,"2,015",6.7,14,4.6,13,4.3,--,--,--,121.3,Passing
"Aaron Opelt",TOL,261,154,59.0,"1,997",7.7,16,6.1,10,3.8,--,--,--,135.8,Passing
"B.J. Daniels",USF,227,122,53.7,"1,983",8.7,14,6.2,9,4.0,--,--,--,139.5,Passing
"Riley Dodge",UNT,303,205,67.7,"1,975",6.5,9,3.0,15,5.0,--,--,--,122.3,Passing
"Austyn Carta-Samuels",WYO,326,191,58.6,"1,953",6.0,10,3.1,5,1.5,--,--,--,116.0,Passing
"Danny Sullivan",AZST,312,168,53.8,"1,939",6.2,10,3.2,9,2.9,--,--,--,110.9,Passing
"Jordan La Secla",SJSU,304,182,59.9,"1,926",6.3,10,3.3,11,3.6,--,--,--,116.7,Passing
"Kyle Padron",SMU,201,135,67.2,"1,922",9.6,10,5.0,4,2.0,--,--,--,159.9,Passing
"Rusty Smith",FAU,253,145,57.3,"1,915",7.6,14,5.5,5,2.0,--,--,--,135.2,Passing
"Grant Stucker",CSU,251,133,53.0,"1,874",7.5,12,4.8,12,4.8,--,--,--,121.9,Passing
"Martevious Young",USM,230,132,57.4,"1,861",8.1,16,7.0,3,1.3,--,--,--,145.7,Passing
