join_key,NFL_Player_Display,college_last_year,college_seasons_count,college_avg_touchdowns,college_avg_yards,college_avg_interceptions,college_total_touchdowns,college_total_yards,college_total_interceptions,nfl_seasons_count,nfl_avg_touchdowns,nfl_avg_yards,nfl_avg_interceptions,nfl_total_touchdowns,nfl_total_yards,nfl_total_interceptions,draft_year,college,team,position
Andrew Luck,Andrew Luck,2011.0,3,27.333333333333332,3143.3333333333335,7.333333333333333,82,9430,22,8,23.708750000000002,3679.0,13.37375,189.67000000000002,29432.0,106.99,2012.0,Stanford,IND,QB
Andy Dalton,Andy Dalton,2010.0,2,25.0,2806.5,7.0,50,5613,14,14,21.902142857142856,3219.3757142857144,12.703571428571427,306.63,45071.26,177.85,2011.0,TCU,CIN,QB
Anthony Brown,Anthony Brown,2018.0,1,20.0,2121.0,9.0,20,2121,9,0,,,,0.0,0.0,0.0,2022.0,Oregon,BAL,QB
Baker Mayfield,Baker Mayfield,2017.0,4,32.75,3651.75,7.5,131,14607,30,9,24.822222222222223,3784.996666666667,15.107777777777777,223.4,34064.97,135.97,2018.0,Oklahoma,CLE,QB
Blaine Gabbert,Blaine Gabbert,2010.0,2,20.0,3389.5,9.0,40,6779,18,11,4.069999999999999,821.7563636363636,4.449090909090909,44.769999999999996,9039.32,48.94,2011.0,Missouri,SF,QB
Blake Bortles,Blake Bortles,2013.0,2,25.0,3320.0,8.0,50,6640,16,6,26.46666666666667,4340.466666666666,19.263333333333332,158.8,26042.8,115.58,2014.0,Central Florida,JAX,QB
Brandon Allen,Brandon Allen,2015.0,2,25.0,2862.5,6.5,50,5725,13,5,1.066,180.266,0.9259999999999999,5.33,901.3299999999999,4.63,2016.0,Arkansas,CIN,QB
Brandon Weeden,Brandon Weeden,2011.0,2,35.5,4502.0,13.0,71,9004,26,5,12.366,2642.1,13.0,61.83,13210.5,65.0,2012.0,Oklahoma State,CLE,QB
Brett Hundley,Brett Hundley,2014.0,3,25.0,3338.6666666666665,8.333333333333334,75,10016,25,4,1.6875,354.75,2.6875,6.75,1419.0,10.75,2015.0,UCLA,GB,QB
Brock Osweiler,Brock Osweiler,2011.0,1,26.0,4036.0,13.0,26,4036,13,7,3.327142857142857,669.3857142857142,2.6885714285714286,23.29,4685.7,18.82,2012.0,Arizona State,DEN,QB
