NFL_Player_Display,college_avg_touchdowns,college_avg_yards,college_avg_interceptions,nfl_avg_touchdowns,nfl_avg_yards,nfl_avg_interceptions
Andrew Luck,27.33333333333333,3143.333333333333,7.333333333333333,23.70875,3679.0,13.37375
Andy Dalton,25.0,2806.5,7.0,21.902142857142856,3219.3757142857144,12.703571428571427
Anthony Brown,20.0,2121.0,9.0,,,
Baker Mayfield,32.75,3651.75,7.5,24.822222222222223,3784.996666666667,15.107777777777777
Blaine Gabbert,20.0,3389.5,9.0,4.069999999999999,821.7563636363636,4.449090909090909
Blake Bortles,25.0,3320.0,8.0,26.46666666666667,4340.466666666666,19.26333333333333
Brandon Allen,25.0,2862.5,6.5,1.066,180.266,0.926
Brandon Weeden,35.5,4502.0,13.0,12.366,2642.1,13.0
Brett Hundley,25.0,3338.6666666666665,8.333333333333334,1.6875,354.75,2.6875
Brock Osweiler,26.0,4036.0,13.0,3.327142857142857,669.3857142857142,2.6885714285714286
Brock Purdy,16.0,2250.0,7.0,26.33333333333333,3808.0,9.833333333333334
Bryce Petty,30.5,4027.5,5.0,2.5,742.75,6.0
C.J. Beathard,17.0,2369.0,7.5,5.854,1213.78,5.142
Cam Newton,30.0,2854.0,7.0,16.456923076923076,2676.014615384616,9.545384615384616
Chad Kelly,25.0,3395.5,11.0,0.0,0.0,0.0
Christian Ponder,17.0,2380.5,7.5,12.943333333333332,2111.056666666667,10.056666666666668
Cody Kessler,29.33333333333333,3442.0,6.333333333333333,5.0,1306.75,2.75
Colin Kaepernick,20.5,2537.0,7.0,11.081428571428573,1918.6114285714284,4.571428571428571
Colt McCoy,27.0,3521.0,12.0,0.9722222222222222,199.79777777777775,0.6111111111111112
Connor Cook,23.33333333333333,3030.0,7.0,,,
Cooper Rush,22.0,3090.0,13.5,1.635,291.385,0.8275
Dak Prescott,22.0,3057.6666666666665,7.666666666666667,25.236,3913.171,9.415
Daniel Jones,17.333333333333332,2733.6666666666665,9.666666666666666,17.453333333333333,3258.445,11.26
David Blough,20.0,2877.0,13.0,3.276666666666667,675.9433333333333,4.5
David Fales,33.0,4191.0,11.0,0.165,53.335,0.165
DeShone Kizer,23.5,2902.5,9.5,11.0,3081.0,24.0
Derek Carr,37.66666666666666,4243.333333333333,8.0,32.254000000000005,4887.695,14.050999999999998
Deshaun Watson,38.0,4349.0,15.0,25.277142857142856,3453.451428571429,9.362857142857145
Desmond Ridder,20.0,2445.0,5.0,10.75,2754.0,9.5
Drew Lock,31.666666666666668,3620.3333333333335,10.333333333333334,10.375,2089.7,8.375
Dwayne Haskins,49.0,4753.0,8.0,12.0,2804.0,14.0
E.J. Manuel,20.5,3031.5,9.0,9.2075,1651.145,7.125
Gardner Minshew,27.0,3458.0,8.0,16.753333333333334,2599.903333333333,5.8
Garrett Gilbert,15.333333333333334,3068.0,13.0,0.085,20.25,0.085
Geno Smith,32.333333333333336,3784.3333333333335,6.666666666666667,9.433,1947.561,10.704
Ian Book,19.0,2628.0,7.0,,,
Jacob Eason,16.0,2430.0,8.0,0.0,25.0,1.0
Jacoby Brissett,21.5,2634.0,5.5,8.33625,1902.38125,3.95
Jake Fromm,27.0,2688.0,6.5,1.0,210.0,3.0
Jake Locker,19.0,2532.5,10.0,8.89,1789.0,8.61
Jake Luton,10.0,1660.0,4.0,,,
Jake Rudock,18.0,2612.0,9.0,0.0,24.0,1.0
Jalen Hurts,19.5,2416.0,5.0,13.805,2473.9166666666665,6.778333333333333
Jameis Winston,32.5,3982.0,14.0,24.424,3886.597,15.921
Jared Goff,32.0,4058.6666666666665,10.0,18.9275,3081.518333333333,8.639166666666666
Jarrett Stidham,18.0,2976.0,5.5,1.9,304.6425,2.4825
Jeff Driskel,19.5,2836.0,6.5,2.9375,487.75,1.5825
Jimmy Clausen,28.0,3722.0,4.0,0.7000000000000001,146.85,0.75
Joe Burrow,16.0,2894.0,5.0,26.88833333333333,4029.68,10.388333333333334
Joe Webb,21.0,2299.0,8.0,0.0,1.34,0.0371428571428571
Johnny Manziel,31.5,3910.0,11.0,7.0,1539.0,6.0
Jordan Love,20.0,2600.5,6.0,6.168,881.1,3.218
Josh Allen,22.0,2502.5,10.5,18.95818181818182,2682.932727272728,8.953636363636363
Josh Rosen,19.666666666666668,3100.333333333333,8.666666666666666,8.0,1899.835,13.0
Joshua Dobbs,21.0,2618.5,8.5,1.3542857142857143,268.91,1.39
Justin Herbert,21.0,2333.333333333333,5.666666666666667,47.0625,6852.1875,16.9375
Kellen Mond,24.0,3107.0,9.0,,,
Kenny Pickett,12.0,1969.0,6.0,6.833333333333333,2285.5,6.666666666666667
Kevin Hogan,22.0,2763.0,8.666666666666666,4.0,621.0,7.0
Kirk Cousins,21.33333333333333,2940.333333333333,9.666666666666666,18.104615384615386,2795.7192307692308,9.516923076923076
Kyle Allen,17.0,2210.0,7.0,8.113333333333333,1555.575,7.1866666666666665
Kyler Murray,42.0,4361.0,7.0,31.1,5163.36,15.424
Lamar Jackson,23.0,3014.333333333333,9.0,21.1075,2423.13125,6.2575
Landry Jones,30.75,4161.5,13.0,1.9433333333333331,313.6666666666667,1.9166666666666667
Logan Woodside,30.666666666666668,3424.6666666666665,8.333333333333334,0.0,4.21,0.0666666666666666
Luke Falk,29.75,3627.5,9.75,0.0,218.0,3.0
Marcus Mariota,34.333333333333336,3487.6666666666665,4.333333333333333,15.3425,2452.3541666666665,8.183333333333334
Mason Rudolph,28.666666666666668,4254.0,7.333333333333333,6.859999999999999,996.868,4.64
Matt Barkley,29.0,3081.75,12.0,1.748,433.634,4.048
Mike Glennon,31.0,3542.5,14.5,10.36,1467.95,5.754285714285714
Mike White,31.5,4270.0,7.5,1.8233333333333333,432.5733333333333,2.7566666666666664
Nate Sudfeld,24.0,3048.0,8.0,0.184,58.066,0.084
Nathan Peterman,23.5,2571.0,7.5,1.3875,246.8,5.4
Nick Foles,22.33333333333333,3337.0,11.0,12.625,1983.6633333333327,5.259166666666666
Nick Mullens,21.75,2998.5,11.5,7.206666666666667,1318.755,6.088333333333334
Patrick Mahomes,38.5,4846.5,12.5,22.29357142857143,2771.75,5.621428571428572
Paxton Lynch,19.666666666666668,2955.0,7.666666666666667,4.0,792.0,4.0
Russell Wilson,30.666666666666668,3255.0,9.666666666666666,25.375882352941176,3361.6,8.533529411764706
Ryan Finley,20.0,3497.333333333333,8.333333333333334,3.0,638.0,4.0
Ryan Lindley,24.666666666666668,3345.6666666666665,12.666666666666666,0.75,349.0,3.25
Ryan Mallett,31.0,3746.5,9.5,1.0333333333333334,240.1783333333333,1.405
Ryan Tannehill,21.0,2691.0,10.5,20.469166666666663,3504.744166666667,12.555833333333334
Sam Darnold,28.5,3614.5,11.0,20.113333333333333,3534.896666666667,16.37
Sam Ehlinger,18.0,2603.5,6.0,3.0,573.0,3.0
Sean Mannion,20.75,3400.0,13.5,0.0,87.375,0.645
T.J. Yates,16.5,2777.0,12.0,0.384,103.218,1.282
Taylor Heinicke,30.0,3476.0,15.0,2.5585714285714287,453.9714285714286,1.9357142857142855
Taysom Hill,15.5,2630.5,13.0,2.521428571428572,231.45714285714288,1.15
Teddy Bridgewater,24.0,3272.333333333333,8.0,11.04,2335.205,7.72125
Tom Savage,17.5,2584.5,8.0,0.835,480.335,1.415
Trace McSorley,25.0,3238.0,8.333333333333334,0.0,77.335,0.835
Trevone Boykin,26.33333333333333,3176.333333333333,10.0,,,
Trevor Lawrence,30.0,3280.0,4.0,22.5,4615.25,15.2075
Trevor Siemian,9.0,2181.5,10.0,9.66,1791.4383333333335,6.75
Tua Tagovailoa,43.0,3966.0,6.0,25.145,3955.02,11.9375
Tyler Huntley,13.5,2099.5,8.0,2.73,724.2075,2.5625
Tyrod Taylor,18.5,2527.0,5.0,4.863076923076923,880.1053846153845,2.039230769230769
Will Grier,35.5,3677.0,10.0,,,
Zach Mettenberger,17.0,2845.5,7.5,12.0,2347.0,14.0
